device,hum_01,hum_02,hygro_01,lux_01,published_at,temp_01,temp_02
SYS01_1,"[98.7, 98.7, 98.7, 98.7, 98.7, 98.7, 98.7, 98.7, 98.7, 98.7]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3147, 3224, 3200, 3162, 3194, 3199, 3173, 3241, 3173, 3173]","[1.08798, 1.09104, 1.0608, 1.08188, 1.10028, 1.09104, 1.08798, 1.08798, 1.08798, 1.09411]",2023-04-26T10:00:04.042Z,"[18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.7, 98.7, 98.7, 98.7, 98.7, 98.7, 98.7, 98.7, 98.7, 98.7]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3172, 3190, 3229, 3087, 3125, 3293, 3228, 3114, 3248, 3200]","[1.08188, 1.09104, 1.09104, 1.09719, 1.10028, 1.08798, 1.10028, 1.08798, 1.09411, 1.10028]",2023-04-26T10:15:02.696Z,"[18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3166, 3178, 3165, 3195, 3156, 3174, 3290, 3159, 3156, 3217]","[1.08188, 1.09719, 1.09719, 1.07582, 1.10338, 1.09411, 1.09411, 1.10028, 1.08798, 1.08188]",2023-04-26T10:30:03.733Z,"[18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3200, 3108, 3138, 3186, 3212, 3126, 3201, 3226, 3152, 3241]","[1.10028, 1.10338, 1.09719, 1.08798, 1.07582, 1.09104, 1.08798, 1.08493, 1.09719, 1.09411]",2023-04-26T10:45:03.783Z,"[18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3208, 3171, 3220, 3176, 3161, 3162, 3222, 3115, 3176, 3171]","[1.09719, 1.08188, 1.10648, 1.09104, 1.07582, 1.1096, 1.09104, 1.08188, 1.10338, 1.09104]",2023-04-26T11:00:03.844Z,"[18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8, 18.8]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.6, 98.6, 98.6, 98.6, 98.6, 98.6, 98.6, 98.6, 98.6, 98.6]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3152, 3176, 3109, 3124, 3145, 3190, 3184, 3174, 3148, 3207]","[1.09719, 1.09719, 1.10028, 1.08493, 1.08493, 1.10338, 1.1096, 1.10648, 1.0728, 1.08493]",2023-04-26T11:15:03.864Z,"[37.7, 37.7, 37.7, 37.7, 37.7, 37.7, 37.7, 37.7, 37.7, 37.7]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3210, 3249, 3173, 3121, 3149, 3116, 3198, 3221, 3208, 3197]","[1.1096, 1.08188, 1.09719, 1.06379, 1.09104, 1.08188, 1.09719, 1.08493, 1.09411, 1.09719]",2023-04-26T11:30:03.526Z,"[18.9, 18.9, 18.9, 18.9, 18.9, 18.9, 18.9, 18.9, 18.9, 18.9]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3202, 3183, 3180, 3252, 3250, 3176, 3160, 3235, 3219, 3211]","[1.09719, 1.08798, 1.09411, 1.08493, 1.08188, 1.07884, 1.09411, 1.08188, 1.08493, 1.10028]",2023-04-26T11:45:03.571Z,"[18.9, 18.9, 18.9, 18.9, 18.9, 18.9, 18.9, 18.9, 18.9, 18.9]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.7, 98.7, 98.7, 98.7, 98.7, 98.7, 98.7, 98.7, 98.7, 98.7]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3194, 3175, 3229, 3236, 3158, 3193, 3154, 3210, 3175, 3134]","[1.1096, 1.09719, 1.09411, 1.08493, 1.09719, 1.06979, 1.1253, 1.08493, 1.09411, 1.0728]",2023-04-26T12:00:03.705Z,"[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3281, 3162, 3241, 3200, 3241, 3184, 3128, 3226, 3133, 3177]","[1.09719, 1.08493, 1.10028, 1.10028, 1.07884, 1.08798, 1.07884, 1.09411, 1.08493, 1.09411]",2023-04-26T12:15:03.656Z,"[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
